Item,Link,LCSC Part No.,Price,Units,Total Price,Running Total,,Notes,,Specific No. Neded
PCB,,,12,1,12,12,,,,1
AliExpress,,,,,,12,,,,
Xiao RP2040,https://www.aliexpress.com/item/1005008233414789.html,,8.61,1,8.61,20.61,,,,1
Hotswap Socket,https://www.aliexpress.com/item/1005007232040760.html,,2.11,1,2.11,22.72,,,,17
Switches,https://www.aliexpress.com/item/1005005930656897.html,,15.41,1,15.41,38.13,,,,17
Stabilisers,https://www.aliexpress.com/item/1005006528731543.html,,0,1,0,38.13,,Already Owned,,3
Keycaps,https://www.aliexpress.com/item/1005009162201589.html,,10.34,1,10.34,48.47,,,,17
M3 8m Screw,https://www.aliexpress.com/item/1005007264845313.html,,0.81,1,0.81,49.28,,,,12
M3 Heatset OD4.2,https://www.aliexpress.com/item/1005003582355741.html,,0,1,0,49.28,,Already Owned,,12
LCSC,,,,,0,49.28,,,,
SK6812MINI-E,Already Owned,C5149201,0,17,0,49.28,,,,17
SN74LV1T125DBVR,Already Owned,C473338,0,1,0,49.28,,,,1
1N4148W,Already Owned,C917030,0,17,0,49.28,,,,17
0805W8F3300T5E,330 Resistor (Already Owned),C17630,0,1,0,49.28,,,,1
,,,,,0,49.28,,,,
Case,Self 3d Printed,,0,1,0,49.28,,,,1
,,,,,Total:,49.28,,,,
