Designator,Mid X,Mid Y,Rotation,Layer
D1,129.6575,-62.7,90.0,bottom
D10,148.7075,-100.8,90.0,bottom
D11,167.7575,-100.8,90.0,bottom
D12,129.6575,-119.85,90.0,bottom
D13,148.7075,-119.85,90.0,bottom
D14,167.7575,-119.85,90.0,bottom
D15,186.8075,-129.375,90.0,bottom
D16,139.1825,-138.9,90.0,bottom
D17,167.7575,-138.9,90.0,bottom
D19,122.2375,-68.58,0.0,bottom
D2,148.7075,-62.7,90.0,bottom
D20,141.2875,-68.58,0.0,bottom
D21,160.3375,-68.58,0.0,bottom
D22,179.3875,-68.58,0.0,bottom
D23,122.2375,-87.63,0.0,bottom
D24,141.2875,-87.63,0.0,bottom
D25,160.330926,-87.63,0.0,bottom
D26,179.3875,-97.155,0.0,bottom
D27,122.2375,-106.68,0.0,bottom
D28,141.2875,-106.68,0.0,bottom
D29,160.3375,-106.68,0.0,bottom
D3,167.7575,-62.7,90.0,bottom
D30,122.2375,-125.73,0.0,bottom
D31,141.2875,-125.73,0.0,bottom
D32,160.3375,-125.73,0.0,bottom
D33,179.3875,-135.255,0.0,bottom
D34,131.7625,-144.78,0.0,bottom
D35,160.3375,-144.78,0.0,bottom
D4,186.8075,-62.7,90.0,bottom
D5,129.6575,-81.75,90.0,bottom
D6,148.7075,-81.75,90.0,bottom
D7,167.7575,-81.75,90.0,bottom
D8,186.8075,-91.275,90.0,bottom
D9,129.6575,-100.8,90.0,bottom
MX1,122.2375,-63.5,0.0,bottom
MX10,141.2875,-101.6,0.0,bottom
MX11,160.3375,-101.6,0.0,bottom
MX12,122.2375,-120.65,0.0,bottom
MX13,141.2875,-120.65,0.0,bottom
MX14,160.3375,-120.65,0.0,bottom
MX15,179.3875,-130.175,0.0,bottom
MX16,131.7625,-139.7,0.0,bottom
MX17,160.3375,-139.7,0.0,bottom
MX2,141.2875,-63.5,0.0,bottom
MX3,160.3375,-63.5,0.0,bottom
MX4,179.3875,-63.5,0.0,bottom
MX5,122.2375,-82.55,0.0,bottom
MX6,141.2875,-82.55,0.0,bottom
MX7,160.330926,-82.55,0.0,bottom
MX8,179.3875,-92.075,0.0,bottom
MX9,122.2375,-101.6,0.0,bottom
R1,141.70575,-41.62,0.0,bottom
U1,173.73575,-43.483,0.0,bottom
U2,147.50575,-40.65,180.0,bottom
